"id","external_ids","event_time","ingested_at","first_seen","last_seen","jam_line_geog","city","street_name","road_number","road_type_code","delay_seconds","length_m","speed_kmh","speed_normal_kmh","severity","quality_score","raw","segment_id"
1326,"{""waze"": ""708736998"", ""waze_alert"": [""ca97a989-d3b6-476a-9289-b21000d20936"", ""dadc2e9c-221e-482c-8e9e-cda39a76e8d7""]}","2026-04-09 05:03:04.973+00","2026-04-09 05:03:23.786149+00","2026-04-09 05:03:23.786149+00","2026-04-09 05:14:30.198691+00","0102000020E6100000090000000403081F4A9030400403081F4A964840DF1B4300709030404BAFCDC64A9648402D0ABB287A903040ECA694D74A964840A7B228ECA2903040C2DF2F664B96484055850662D9903040CE8DE9094B96484030F5F3A6229130409F3D97A94996484079EA9106B7913040DD0BCC0A45964840EBFEB1101D9230404FE78A5242964840BC3FDEAB569230403EB0E3BF40964840","Brno","Jihlavská","602","secondary",107.0,584.0,12.68,35.75241671584143,"heavy",100,"{""jam"": {""id"": 708736998, ""city"": ""Brno"", ""line"": [{""x"": 16.563631, ""y"": 49.174137}, {""x"": 16.564209, ""y"": 49.174157}, {""x"": 16.564364, ""y"": 49.174159}, {""x"": 16.564986, ""y"": 49.174176}, {""x"": 16.565817, ""y"": 49.174165}, {""x"": 16.566935, ""y"": 49.174123}, {""x"": 16.569199, ""y"": 49.173982}, {""x"": 16.570756, ""y"": 49.173899}, {""x"": 16.571635, ""y"": 49.173851}], ""uuid"": 708736998, ""_type"": ""jam"", ""delay"": 107, ""level"": 3, ""speed"": 3.522222222222222, ""length"": 584, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": ""Osová"", ""roadType"": 7, ""segments"": [{""ID"": 205262250, ""toNode"": 185116406, ""fromNode"": 96728320, ""isForward"": false}, {""ID"": 205262260, ""toNode"": 185116407, ""fromNode"": 185116406, ""isForward"": true}, {""ID"": 205262252, ""toNode"": 185116231, ""fromNode"": 185116407, ""isForward"": true}, {""ID"": 205261838, ""toNode"": 92813100, ""fromNode"": 185116231, ""isForward"": true}, {""ID"": 86290950, ""toNode"": 96728279, ""fromNode"": 92813100, ""isForward"": true}, {""ID"": 90067547, ""toNode"": 96733838, ""fromNode"": 96728279, ""isForward"": true}, {""ID"": 90076380, ""toNode"": 96733850, ""fromNode"": 96733838, ""isForward"": true}], ""speedKMH"": 12.68, ""turnType"": ""NONE"", ""pubMillis"": 1775710984973, ""_fetchedAt"": ""2026-04-09T05:10:20.260064283Z""}, ""alerts"": [{""city"": ""Brno"", ""type"": ""JAM"", ""uuid"": ""ca97a989-d3b6-476a-9289-b21000d20936"", ""_type"": ""alert"", ""magvar"": 196, ""street"": ""» N. Lískovec / Bohunice"", ""_source"": ""waze"", ""country"": ""EZ"", ""subtype"": ""JAM_HEAVY_TRAFFIC"", ""location"": {""x"": 16.563789, ""y"": 49.179127}, ""roadType"": 4, ""pubMillis"": 1775711521000, ""_fetchedAt"": ""2026-04-09T05:12:20.271365370Z"", ""confidence"": 0, ""reliability"": 5, ""reportRating"": 2, ""reportByMunicipalityUser"": ""false""}, {""city"": ""Brno"", ""type"": ""HAZARD"", ""uuid"": ""dadc2e9c-221e-482c-8e9e-cda39a76e8d7"", ""_type"": ""alert"", ""magvar"": 194, ""street"": ""Bítešská"", ""_source"": ""waze"", ""country"": ""EZ"", ""subtype"": ""HAZARD_ON_SHOULDER_CAR_STOPPED"", ""location"": {""x"": 16.562885, ""y"": 49.17572}, ""roadType"": 3, ""pubMillis"": 1775711502000, ""_fetchedAt"": ""2026-04-09T05:12:20.271365370Z"", ""confidence"": 0, ""reliability"": 5, ""reportRating"": 3, ""reportByMunicipalityUser"": ""false""}]}",8181
1775,"{""waze"": ""709406322"", ""waze_alert"": [""f0c1210a-56bc-4fd6-af7e-b70a2864ef06"", ""81e9d1d4-c91a-4171-8131-2974c88cbbf2"", ""fe80d3fa-f35b-4a6f-b98a-9db7044f7e53"", ""269a3a2c-e1d6-48fe-998a-77bb7018e609"", ""246a0c69-2429-4447-9d34-258a3bff52bb""]}","2026-04-09 05:15:07.295+00","2026-04-09 05:15:22.723794+00","2026-04-09 05:15:22.723794+00","2026-04-09 05:46:24.144432+00","0102000020E61000000F0000003CC093162E7F3040A8FC6B79E59648403694DA8B687F3040639B5434D6964840A3772AE09E7F3040F92F1004C89648408FAA2688BA7F3040CDAFE600C19648404298DBBDDC7F3040494C50C3B7964840AEBCE47FF27F304033C005D9B29648403C32569BFF7F3040C4B46FEEAF9648403A048E041A8030403DB5FAEAAA96484040FB9122328030405D363AE7A796484048C2BE9D44803040C9207711A6964840268E3C1059803040CA54C1A8A4964840342F87DD77803040C4978922A4964840348639419B803040B22C98F8A3964840B62FA017EE8030408F56B5A4A3964840DBC4C9FD0E81304012691B7FA2964840","Troubsko","Jihlavská","602","secondary",91.0,605.0,15.79,46.40420450405474,"heavy",100,"{""id"": 709406322, ""city"": ""Troubsko"", ""line"": [{""x"": 16.496797, ""y"": 49.178878}, {""x"": 16.497689, ""y"": 49.178412}, {""x"": 16.498518, ""y"": 49.177979}, {""x"": 16.49894, ""y"": 49.177765}, {""x"": 16.499462, ""y"": 49.177483}, {""x"": 16.499794, ""y"": 49.177333}, {""x"": 16.499994, ""y"": 49.177244}, {""x"": 16.500397, ""y"": 49.177091}, {""x"": 16.500765, ""y"": 49.176999}, {""x"": 16.501047, ""y"": 49.176943}, {""x"": 16.501359, ""y"": 49.1769}, {""x"": 16.501829, ""y"": 49.176884}, {""x"": 16.502369, ""y"": 49.176879}, {""x"": 16.503633, ""y"": 49.176869}, {""x"": 16.504135, ""y"": 49.176834}], ""uuid"": 709406322, ""_type"": ""jam"", ""delay"": 91, ""level"": 3, ""speed"": 4.386111111111111, ""length"": 605, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": """", ""roadType"": 7, ""segments"": [{""ID"": 383757443, ""toNode"": 299163393, ""fromNode"": 110586900, ""isForward"": true}, {""ID"": 383757444, ""toNode"": 171575301, ""fromNode"": 299163393, ""isForward"": true}, {""ID"": 283291774, ""toNode"": 234238961, ""fromNode"": 171575301, ""isForward"": true}, {""ID"": 416526087, ""toNode"": 320668507, ""fromNode"": 234238961, ""isForward"": true}, {""ID"": 416526088, ""toNode"": 308678634, ""fromNode"": 320668507, ""isForward"": true}, {""ID"": 398283697, ""toNode"": 299163870, ""fromNode"": 308678634, ""isForward"": true}, {""ID"": 383758170, ""toNode"": 252793393, ""fromNode"": 299163870, ""isForward"": true}, {""ID"": 383758050, ""toNode"": 299163789, ""fromNode"": 252793393, ""isForward"": true}, {""ID"": 383758051, ""toNode"": 297644935, ""fromNode"": 299163789, ""isForward"": true}, {""ID"": 381462790, ""toNode"": 285880535, ""fromNode"": 297644935, ""isForward"": true}, {""ID"": 363254740, ""toNode"": 232577668, ""fromNode"": 285880535, ""isForward"": true}], ""speedKMH"": 15.79, ""turnType"": ""NONE"", ""pubMillis"": 1775711707295, ""_fetchedAt"": ""2026-04-09T05:46:21.261296659Z""}",9210
1874,"{""waze"": ""709636742"", ""waze_alert"": [""1943565d-7058-4b8d-af44-ebc7fa46ec9d"", ""0390a390-060b-474a-acd4-f82e7a770a6b"", ""dfe59693-8205-4547-bbcc-124d094f40c4"", ""e2d62a78-0a8f-49b6-9bd5-ac0fe88ce38d"", ""ae5ebf3b-aa6d-4adc-857b-9bcc21473f69"", ""543a6183-88ab-4555-981b-93fb090f02a1""]}","2026-04-09 05:18:12.258+00","2026-04-09 05:18:20.805198+00","2026-04-09 05:18:20.805198+00","2026-04-09 06:31:23.684052+00","0102000020E6100000080000000403081F4A9030400403081F4A964840DF1B4300709030404BAFCDC64A9648402D0ABB287A903040ECA694D74A964840A7B228ECA2903040C2DF2F664B96484055850662D9903040CE8DE9094B96484030F5F3A6229130409F3D97A94996484079EA9106B7913040DD0BCC0A45964840EBFEB1101D9230404FE78A5242964840","Brno","Jihlavská","602","secondary",154.0,520.0,9.34,40.32026565814963,"heavy",100,"{""id"": 709636742, ""city"": ""Brno"", ""line"": [{""x"": 16.563631, ""y"": 49.174137}, {""x"": 16.564209, ""y"": 49.174157}, {""x"": 16.564364, ""y"": 49.174159}, {""x"": 16.564986, ""y"": 49.174176}, {""x"": 16.565817, ""y"": 49.174165}, {""x"": 16.566935, ""y"": 49.174123}, {""x"": 16.569199, ""y"": 49.173982}, {""x"": 16.570756, ""y"": 49.173899}], ""uuid"": 709636742, ""_type"": ""jam"", ""delay"": 154, ""level"": 3, ""speed"": 2.5944444444444446, ""length"": 520, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": """", ""roadType"": 7, ""segments"": [{""ID"": 205262250, ""toNode"": 185116406, ""fromNode"": 96728320, ""isForward"": false}, {""ID"": 205262260, ""toNode"": 185116407, ""fromNode"": 185116406, ""isForward"": true}, {""ID"": 205262252, ""toNode"": 185116231, ""fromNode"": 185116407, ""isForward"": true}, {""ID"": 205261838, ""toNode"": 92813100, ""fromNode"": 185116231, ""isForward"": true}, {""ID"": 86290950, ""toNode"": 96728279, ""fromNode"": 92813100, ""isForward"": true}, {""ID"": 90067547, ""toNode"": 96733838, ""fromNode"": 96728279, ""isForward"": true}], ""speedKMH"": 9.34, ""turnType"": ""NONE"", ""pubMillis"": 1775711892258, ""_fetchedAt"": ""2026-04-09T06:31:23.281418631Z""}",8181
15437,"{""waze"": ""d9c0adaf-f79b-4138-a255-5b45d9e38afb""}","2026-04-09 08:54:38+00","2026-04-09 08:55:35.935245+00","2026-04-09 08:55:35.935245+00","2026-04-09 09:05:36.015408+00",NULL,"Troubsko","Jihlavská",NULL,"secondary",NULL,NULL,NULL,NULL,"moderate",40,"{""city"": ""Troubsko"", ""type"": ""JAM"", ""uuid"": ""d9c0adaf-f79b-4138-a255-5b45d9e38afb"", ""_type"": ""alert"", ""magvar"": 359, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""subtype"": """", ""location"": {""x"": 16.501833, ""y"": 49.176886}, ""roadType"": 7, ""pubMillis"": 1775724878000, ""_fetchedAt"": ""2026-04-09T09:05:27.246066357Z"", ""confidence"": 0, ""reliability"": 5, ""reportRating"": 0, ""reportByMunicipalityUser"": ""false""}",9211
3500,"{""waze"": ""711789092"", ""waze_alert"": [""1a493021-efe0-4bd7-9e29-87f0706ba3e1""]}","2026-04-09 05:43:17.556+00","2026-04-09 05:43:21.437483+00","2026-04-09 05:43:21.437483+00","2026-04-09 06:32:23.404234+00","0102000020E6100000070000004774CFBA4697304032772D211F9648406F2EFEB627983040CF81E508199648403370404B57983040A13193A817964840344C6DA983983040F4BF5C8B16964840B20FB22C9898304019CA8976159648406495D233BD98304078D2C26515964840064CE0D6DD9830404E0B5EF415964840","Brno","Jihlavská","602","secondary",68.0,455.0,12.96,28.05328258801142,"heavy",100,"{""id"": 711789092, ""city"": ""Brno"", ""line"": [{""x"": 16.590923, ""y"": 49.172825}, {""x"": 16.594356, ""y"": 49.172639}, {""x"": 16.595082, ""y"": 49.172597}, {""x"": 16.595759, ""y"": 49.172563}, {""x"": 16.596072, ""y"": 49.17253}, {""x"": 16.596637, ""y"": 49.172528}, {""x"": 16.597135, ""y"": 49.172545}], ""uuid"": 711789092, ""_type"": ""jam"", ""delay"": 68, ""level"": 3, ""speed"": 3.6, ""length"": 455, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": ""Vídeňská"", ""roadType"": 7, ""segments"": [{""ID"": 102861528, ""toNode"": 110126301, ""fromNode"": 110867904, ""isForward"": true}, {""ID"": 101585872, ""toNode"": 151703777, ""fromNode"": 110126301, ""isForward"": true}, {""ID"": 102086038, ""toNode"": 111701035, ""fromNode"": 151703777, ""isForward"": true}, {""ID"": 104241313, ""toNode"": 303454907, ""fromNode"": 111701035, ""isForward"": true}], ""speedKMH"": 12.96, ""turnType"": ""NONE"", ""pubMillis"": 1775713397556, ""_fetchedAt"": ""2026-04-09T06:32:23.266523563Z""}",6501
2549,"{""waze"": ""710522500"", ""waze_alert"": [""848200fe-c749-4ff9-9f9c-c23ed6516d94"", ""06cfe0fe-9dd0-4287-a433-e8f042523664""]}","2026-04-09 05:30:35.466+00","2026-04-09 05:31:24.340941+00","2026-04-09 05:31:24.340941+00","2026-04-09 06:16:34.403957+00","0102000020E61000000B000000AD8905BEA28F3040965F06634496484053094FE8F58F304035EF3845479648400057B2632390304076AA7CCF489648400403081F4A9030400403081F4A964840DF1B4300709030404BAFCDC64A9648402D0ABB287A903040ECA694D74A964840A7B228ECA2903040C2DF2F664B96484055850662D9903040CE8DE9094B96484030F5F3A6229130409F3D97A94996484079EA9106B7913040DD0BCC0A45964840EBFEB1101D9230404FE78A5242964840","Brno","Jihlavská","602","secondary",444.0,707.0,5.06,43.1360932475884,"standstill",100,"{""id"": 710522500, ""city"": ""Brno"", ""line"": [{""x"": 16.561077, ""y"": 49.173962}, {""x"": 16.562346, ""y"": 49.17405}, {""x"": 16.56304, ""y"": 49.174097}, {""x"": 16.563631, ""y"": 49.174137}, {""x"": 16.564209, ""y"": 49.174157}, {""x"": 16.564364, ""y"": 49.174159}, {""x"": 16.564986, ""y"": 49.174176}, {""x"": 16.565817, ""y"": 49.174165}, {""x"": 16.566935, ""y"": 49.174123}, {""x"": 16.569199, ""y"": 49.173982}, {""x"": 16.570756, ""y"": 49.173899}], ""uuid"": 710522500, ""_type"": ""jam"", ""delay"": 444, ""level"": 4, ""speed"": 1.4055555555555554, ""length"": 707, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": """", ""roadType"": 7, ""segments"": [{""ID"": 297990221, ""toNode"": 244428537, ""fromNode"": 151015951, ""isForward"": true}, {""ID"": 297990218, ""toNode"": 218935082, ""fromNode"": 244428537, ""isForward"": true}, {""ID"": 260619539, ""toNode"": 96728320, ""fromNode"": 218935082, ""isForward"": true}, {""ID"": 205262250, ""toNode"": 185116406, ""fromNode"": 96728320, ""isForward"": false}, {""ID"": 205262260, ""toNode"": 185116407, ""fromNode"": 185116406, ""isForward"": true}, {""ID"": 205262252, ""toNode"": 185116231, ""fromNode"": 185116407, ""isForward"": true}, {""ID"": 205261838, ""toNode"": 92813100, ""fromNode"": 185116231, ""isForward"": true}, {""ID"": 86290950, ""toNode"": 96728279, ""fromNode"": 92813100, ""isForward"": true}, {""ID"": 90067547, ""toNode"": 96733838, ""fromNode"": 96728279, ""isForward"": true}], ""speedKMH"": 5.06, ""turnType"": ""NONE"", ""pubMillis"": 1775712635466, ""_fetchedAt"": ""2026-04-09T06:15:23.306463417Z""}",8207
7423,"{""waze"": ""715892990"", ""waze_alert"": [""34a407d9-37d9-43a5-b535-61af08eb7c71""]}","2026-04-09 06:15:56.483+00","2026-04-09 06:16:24.742729+00","2026-04-09 06:16:24.742729+00","2026-04-09 06:50:25.81968+00","0102000020E6100000080000000403081F4A9030400403081F4A964840DF1B4300709030404BAFCDC64A9648402D0ABB287A903040ECA694D74A964840A7B228ECA2903040C2DF2F664B96484055850662D9903040CE8DE9094B96484030F5F3A6229130409F3D97A94996484079EA9106B7913040DD0BCC0A45964840EBFEB1101D9230404FE78A5242964840","Brno","Jihlavská","602","secondary",121.0,520.0,11.2,40.56965944272446,"heavy",100,"{""id"": 715892990, ""city"": ""Brno"", ""line"": [{""x"": 16.563631, ""y"": 49.174137}, {""x"": 16.564209, ""y"": 49.174157}, {""x"": 16.564364, ""y"": 49.174159}, {""x"": 16.564986, ""y"": 49.174176}, {""x"": 16.565817, ""y"": 49.174165}, {""x"": 16.566935, ""y"": 49.174123}, {""x"": 16.569199, ""y"": 49.173982}, {""x"": 16.570756, ""y"": 49.173899}], ""uuid"": 715892990, ""_type"": ""jam"", ""delay"": 121, ""level"": 3, ""speed"": 3.111111111111111, ""length"": 520, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": """", ""roadType"": 7, ""segments"": [{""ID"": 205262250, ""toNode"": 185116406, ""fromNode"": 96728320, ""isForward"": false}, {""ID"": 205262260, ""toNode"": 185116407, ""fromNode"": 185116406, ""isForward"": true}, {""ID"": 205262252, ""toNode"": 185116231, ""fromNode"": 185116407, ""isForward"": true}, {""ID"": 205261838, ""toNode"": 92813100, ""fromNode"": 185116231, ""isForward"": true}, {""ID"": 86290950, ""toNode"": 96728279, ""fromNode"": 92813100, ""isForward"": true}, {""ID"": 90067547, ""toNode"": 96733838, ""fromNode"": 96728279, ""isForward"": true}], ""speedKMH"": 11.2, ""turnType"": ""NONE"", ""pubMillis"": 1775715356483, ""_fetchedAt"": ""2026-04-09T06:50:24.366698713Z""}",8181
7748,"{""waze"": ""716333410"", ""waze_alert"": [""87151b57-3a0b-44f7-b950-3df90fd05469""]}","2026-04-09 06:19:21.572+00","2026-04-09 06:19:25.836773+00","2026-04-09 06:19:25.836773+00","2026-04-09 06:37:26.75542+00","0102000020E6100000120000005FD4EE57018A30405D4E098849964840E7FEEA71DF8A3040810706103E964840DC48D922698B304049D9226937964840EDB776A2248C30408F006E162F9648409F3D97A9498C304060B01BB62D964840573F36C98F8C3040A2D3F36E2C96484038DBDC989E8C304001DC2C5E2C9648404C1C7920B28C3040724F57772C964840A41CCC26C08C304001DC2C5E2C9648403E22A644128D3040FAB660A92E96484013D55B035B8D3040E126A3CA30964840E415889E948D30405166834C329648409B92ACC3D18D30401BBD1AA034964840855D143DF08D304097AAB4C5359648409886E123628E304000C5C892399648401B13622EA98E3040DB8651103C96484053E9279CDD8E3040B18BA2073E9648409301A08A1B8F30402788BA0F40964840","Brno","Jihlavská",NULL,"secondary",65.0,1462.0,33.04,55.814651431505965,"light",100,"{""id"": 716333410, ""city"": ""Brno"", ""line"": [{""x"": 16.539083, ""y"": 49.174119}, {""x"": 16.542472, ""y"": 49.173769}, {""x"": 16.544573, ""y"": 49.173566}, {""x"": 16.547434, ""y"": 49.173312}, {""x"": 16.547999, ""y"": 49.17327}, {""x"": 16.549069, ""y"": 49.173231}, {""x"": 16.549295, ""y"": 49.173229}, {""x"": 16.549593, ""y"": 49.173232}, {""x"": 16.549807, ""y"": 49.173229}, {""x"": 16.55106, ""y"": 49.173299}, {""x"": 16.55217, ""y"": 49.173364}, {""x"": 16.553049, ""y"": 49.17341}, {""x"": 16.553982, ""y"": 49.173481}, {""x"": 16.554447, ""y"": 49.173516}, {""x"": 16.556185, ""y"": 49.173632}, {""x"": 16.557269, ""y"": 49.173708}, {""x"": 16.558069, ""y"": 49.173768}, {""x"": 16.559014, ""y"": 49.17383}], ""uuid"": 716333410, ""_type"": ""jam"", ""delay"": 65, ""level"": 1, ""speed"": 9.177777777777777, ""length"": 1462, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": ""» Bohunice"", ""roadType"": 7, ""segments"": [{""ID"": 417664703, ""toNode"": 210855475, ""fromNode"": 321402728, ""isForward"": false}, {""ID"": 253574101, ""toNode"": 214348282, ""fromNode"": 210855475, ""isForward"": true}, {""ID"": 253574265, ""toNode"": 214348364, ""fromNode"": 214348282, ""isForward"": true}, {""ID"": 253574267, ""toNode"": 210855495, ""fromNode"": 214348364, ""isForward"": true}, {""ID"": 247976341, ""toNode"": 173753642, ""fromNode"": 210855495, ""isForward"": true}, {""ID"": 285680847, ""toNode"": 235708176, ""fromNode"": 173753642, ""isForward"": false}, {""ID"": 285680846, ""toNode"": 207223754, ""fromNode"": 235708176, ""isForward"": false}, {""ID"": 305365576, ""toNode"": 249178994, ""fromNode"": 207223754, ""isForward"": false}, {""ID"": 305365575, ""toNode"": 148564790, ""fromNode"": 249178994, ""isForward"": false}, {""ID"": 285680855, ""toNode"": 235708181, ""fromNode"": 148564790, ""isForward"": true}, {""ID"": 285680856, ""toNode"": 154091533, ""fromNode"": 235708181, ""isForward"": true}, {""ID"": 285680849, ""toNode"": 235708177, ""fromNode"": 154091533, ""isForward"": true}, {""ID"": 141023934, ""toNode"": 151015806, ""fromNode"": 235708177, ""isForward"": false}, {""ID"": 84016602, ""toNode"": 91330822, ""fromNode"": 151015806, ""isForward"": false}, {""ID"": 84216256, ""toNode"": 91418120, ""fromNode"": 91330822, ""isForward"": false}], ""speedKMH"": 33.04, ""turnType"": ""NONE"", ""pubMillis"": 1775715561572, ""_fetchedAt"": ""2026-04-09T06:37:24.420919298Z""}",8587
11966,"{""waze"": ""723302612""}","2026-04-09 07:09:27.281+00","2026-04-09 07:10:27.553806+00","2026-04-09 07:10:27.553806+00","2026-04-09 07:14:27.650998+00","0102000020E61000000B000000B77BB94F8E9230402D793C2D3F9648407BF7C77BD5923040996379573D96484029780AB952933040068200193A9648402CBCCB457C9330402A8C2D04399648408BFED0CC9393304084D72E6D389648404DF564FED1933040022D5DC136964840297B4B395F943040698EACFC329648401DAF40F4A4943040E7E3DA50319648409A0AF148BC943040A03715A930964840A94D9CDCEF943040416326512F96484066A4DE53399530407EC9C6832D964840","Brno","Jihlavská","602","secondary",86.0,763.0,16.79,35.39810263573984,"moderate",80,"{""id"": 723302612, ""city"": ""Brno"", ""line"": [{""x"": 16.572484, ""y"": 49.173803}, {""x"": 16.57357, ""y"": 49.173747}, {""x"": 16.575481, ""y"": 49.173648}, {""x"": 16.576115, ""y"": 49.173615}, {""x"": 16.576474, ""y"": 49.173597}, {""x"": 16.577423, ""y"": 49.173546}, {""x"": 16.579578, ""y"": 49.173431}, {""x"": 16.580642, ""y"": 49.17338}, {""x"": 16.580998, ""y"": 49.17336}, {""x"": 16.581785, ""y"": 49.173319}, {""x"": 16.582906, ""y"": 49.173264}], ""uuid"": 723302612, ""_type"": ""jam"", ""delay"": 86, ""level"": 2, ""speed"": 4.663888888888889, ""length"": 763, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": ""Dlouhá"", ""roadType"": 7, ""segments"": [{""ID"": 149544235, ""toNode"": 155335300, ""fromNode"": 96733829, ""isForward"": true}, {""ID"": 149544241, ""toNode"": 155335302, ""fromNode"": 155335300, ""isForward"": true}, {""ID"": 290154834, ""toNode"": 239428791, ""fromNode"": 155335302, ""isForward"": true}, {""ID"": 290154835, ""toNode"": 96733981, ""fromNode"": 239428791, ""isForward"": true}, {""ID"": 90076579, ""toNode"": 151699792, ""fromNode"": 96733981, ""isForward"": true}, {""ID"": 142027990, ""toNode"": 151699793, ""fromNode"": 151699792, ""isForward"": true}, {""ID"": 145060923, ""toNode"": 153329659, ""fromNode"": 151699793, ""isForward"": false}, {""ID"": 145611346, ""toNode"": 151659324, ""fromNode"": 153329659, ""isForward"": false}], ""speedKMH"": 16.79, ""turnType"": ""NONE"", ""pubMillis"": 1775718567281, ""_fetchedAt"": ""2026-04-09T07:14:25.451132791Z""}",8107
11216,"{""waze"": ""722109542""}","2026-04-09 06:59:18.593+00","2026-04-09 06:59:29.757034+00","2026-04-09 06:59:29.757034+00","2026-04-09 07:14:29.643675+00","0102000020E61000000F0000003CC093162E7F3040A8FC6B79E59648403694DA8B687F3040639B5434D6964840A3772AE09E7F3040F92F1004C89648408FAA2688BA7F3040CDAFE600C19648404298DBBDDC7F3040494C50C3B7964840AEBCE47FF27F304033C005D9B29648403C32569BFF7F3040C4B46FEEAF9648403A048E041A8030403DB5FAEAAA96484040FB9122328030405D363AE7A796484048C2BE9D44803040C9207711A6964840268E3C1059803040CA54C1A8A4964840342F87DD77803040C4978922A4964840348639419B803040B22C98F8A3964840B62FA017EE8030408F56B5A4A3964840DBC4C9FD0E81304012691B7FA2964840","Troubsko","Jihlavská","602","secondary",82.0,605.0,16.96,46.919621989635196,"heavy",80,"{""id"": 722109542, ""city"": ""Troubsko"", ""line"": [{""x"": 16.496797, ""y"": 49.178878}, {""x"": 16.497689, ""y"": 49.178412}, {""x"": 16.498518, ""y"": 49.177979}, {""x"": 16.49894, ""y"": 49.177765}, {""x"": 16.499462, ""y"": 49.177483}, {""x"": 16.499794, ""y"": 49.177333}, {""x"": 16.499994, ""y"": 49.177244}, {""x"": 16.500397, ""y"": 49.177091}, {""x"": 16.500765, ""y"": 49.176999}, {""x"": 16.501047, ""y"": 49.176943}, {""x"": 16.501359, ""y"": 49.1769}, {""x"": 16.501829, ""y"": 49.176884}, {""x"": 16.502369, ""y"": 49.176879}, {""x"": 16.503633, ""y"": 49.176869}, {""x"": 16.504135, ""y"": 49.176834}], ""uuid"": 722109542, ""_type"": ""jam"", ""delay"": 82, ""level"": 3, ""speed"": 4.711111111111111, ""length"": 605, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": """", ""roadType"": 7, ""segments"": [{""ID"": 383757443, ""toNode"": 299163393, ""fromNode"": 110586900, ""isForward"": true}, {""ID"": 383757444, ""toNode"": 171575301, ""fromNode"": 299163393, ""isForward"": true}, {""ID"": 283291774, ""toNode"": 234238961, ""fromNode"": 171575301, ""isForward"": true}, {""ID"": 416526087, ""toNode"": 320668507, ""fromNode"": 234238961, ""isForward"": true}, {""ID"": 416526088, ""toNode"": 308678634, ""fromNode"": 320668507, ""isForward"": true}, {""ID"": 398283697, ""toNode"": 299163870, ""fromNode"": 308678634, ""isForward"": true}, {""ID"": 383758170, ""toNode"": 252793393, ""fromNode"": 299163870, ""isForward"": true}, {""ID"": 383758050, ""toNode"": 299163789, ""fromNode"": 252793393, ""isForward"": true}, {""ID"": 383758051, ""toNode"": 297644935, ""fromNode"": 299163789, ""isForward"": true}, {""ID"": 381462790, ""toNode"": 285880535, ""fromNode"": 297644935, ""isForward"": true}, {""ID"": 363254740, ""toNode"": 232577668, ""fromNode"": 285880535, ""isForward"": true}], ""speedKMH"": 16.96, ""turnType"": ""NONE"", ""pubMillis"": 1775717958593, ""_fetchedAt"": ""2026-04-09T07:14:25.451132791Z""}",9210
17158,"{""waze"": ""737132524""}","2026-04-09 09:50:56.869+00","2026-04-09 09:51:32.698626+00","2026-04-09 09:51:32.698626+00","2026-04-09 10:05:34.593576+00","0102000020E610000003000000AA2A3410CB96304006483481229648405B28999CDA9530402D0B26FE28964840E7ABE46377953040EAB303AE2B964840","Brno","Jihlavská","602","secondary",89.0,379.0,10.1,29.6035230934479,"heavy",80,"{""id"": 737132524, ""city"": ""Brno"", ""line"": [{""x"": 16.589036, ""y"": 49.172928}, {""x"": 16.585367, ""y"": 49.173126}, {""x"": 16.583853, ""y"": 49.173208}], ""uuid"": 737132524, ""_type"": ""jam"", ""delay"": 89, ""level"": 3, ""speed"": 2.8055555555555554, ""length"": 379, ""street"": ""Jihlavská"", ""_source"": ""waze"", ""country"": ""EZ"", ""endNode"": ""Dlouhá"", ""roadType"": 7, ""segments"": [{""ID"": 309974246, ""toNode"": 251306715, ""fromNode"": 252029889, ""isForward"": false}, {""ID"": 308655556, ""toNode"": 52246925, ""fromNode"": 251306715, ""isForward"": false}], ""speedKMH"": 10.1, ""turnType"": ""NONE"", ""pubMillis"": 1775728256869, ""_fetchedAt"": ""2026-04-09T10:05:32.296007044Z""}",7935
